Code,Name,dispCode,updatedCode
U+1F590 U+1F3FF,raised hand with fingers splayed: dark skin tone,U0001F590 U0001F3FF,U0001F590 U0001F3FF
U+270B,raised hand,U000270B,U0000270B
U+270B U+1F3FB,raised hand: light skin tone,U000270B U0001F3FB,U0000270B U0001F3FB
U+270B U+1F3FC,raised hand: medium-light skin tone,U000270B U0001F3FC,U0000270B U0001F3FC
U+270B U+1F3FD,raised hand: medium skin tone,U000270B U0001F3FD,U0000270B U0001F3FD
U+270B U+1F3FE,raised hand: medium-dark skin tone,U000270B U0001F3FE,U0000270B U0001F3FE
U+270B U+1F3FF,raised hand: dark skin tone,U000270B U0001F3FF,U0000270B U0001F3FF
U+1F44C,OK hand,U0001F44C,U0001F44C
U+1F44C U+1F3FB,OK hand: light skin tone,U0001F44C U0001F3FB,U0001F44C U0001F3FB
U+1F44C U+1F3FC,OK hand: medium-light skin tone,U0001F44C U0001F3FC,U0001F44C U0001F3FC
U+1F44C U+1F3FD,OK hand: medium skin tone,U0001F44C U0001F3FD,U0001F44C U0001F3FD
U+1F44C U+1F3FE,OK hand: medium-dark skin tone,U0001F44C U0001F3FE,U0001F44C U0001F3FE
U+1F44C U+1F3FF,OK hand: dark skin tone,U0001F44C U0001F3FF,U0001F44C U0001F3FF
U+1F44D,thumbs up,U0001F44D,U0001F44D
U+1F44D U+1F3FB,thumbs up: light skin tone,U0001F44D U0001F3FB,U0001F44D U0001F3FB
U+1F44D U+1F3FC,thumbs up: medium-light skin tone,U0001F44D U0001F3FC,U0001F44D U0001F3FC
U+1F44D U+1F3FD,thumbs up: medium skin tone,U0001F44D U0001F3FD,U0001F44D U0001F3FD
U+1F44D U+1F3FE,thumbs up: medium-dark skin tone,U0001F44D U0001F3FE,U0001F44D U0001F3FE
U+1F44D U+1F3FF,thumbs up: dark skin tone,U0001F44D U0001F3FF,U0001F44D U0001F3FF
U+1F44E,thumbs down,U0001F44E,U0001F44E
U+1F44E U+1F3FB,thumbs down: light skin tone,U0001F44E U0001F3FB,U0001F44E U0001F3FB
U+1F44E U+1F3FC,thumbs down: medium-light skin tone,U0001F44E U0001F3FC,U0001F44E U0001F3FC
U+1F44E U+1F3FD,thumbs down: medium skin tone,U0001F44E U0001F3FD,U0001F44E U0001F3FD
U+1F44E U+1F3FE,thumbs down: medium-dark skin tone,U0001F44E U0001F3FE,U0001F44E U0001F3FE
U+1F44E U+1F3FF,thumbs down: dark skin tone,U0001F44E U0001F3FF,U0001F44E U0001F3FF
U+270A,raised fist,U000270A,U0000270A
U+270A U+1F3FB,raised fist: light skin tone,U000270A U0001F3FB,U0000270A U0001F3FB
U+270A U+1F3FC,raised fist: medium-light skin tone,U000270A U0001F3FC,U0000270A U0001F3FC
U+270A U+1F3FD,raised fist: medium skin tone,U000270A U0001F3FD,U0000270A U0001F3FD
U+270A U+1F3FE,raised fist: medium-dark skin tone,U000270A U0001F3FE,U0000270A U0001F3FE
U+270A U+1F3FF,raised fist: dark skin tone,U000270A U0001F3FF,U0000270A U0001F3FF
U+1F44A,oncoming fist,U0001F44A,U0001F44A
U+1F44A U+1F3FB,oncoming fist: light skin tone,U0001F44A U0001F3FB,U0001F44A U0001F3FB
U+1F44A U+1F3FC,oncoming fist: medium-light skin tone,U0001F44A U0001F3FC,U0001F44A U0001F3FC
U+1F44A U+1F3FD,oncoming fist: medium skin tone,U0001F44A U0001F3FD,U0001F44A U0001F3FD
U+1F44A U+1F3FE,oncoming fist: medium-dark skin tone,U0001F44A U0001F3FE,U0001F44A U0001F3FE
U+1F44A U+1F3FF,oncoming fist: dark skin tone,U0001F44A U0001F3FF,U0001F44A U0001F3FF
U+1F91B,left-facing fist,U0001F91B,U0001F91B
U+1F91B U+1F3FB,left-facing fist: light skin tone,U0001F91B U0001F3FB,U0001F91B U0001F3FB
U+1F91B U+1F3FC,left-facing fist: medium-light skin tone,U0001F91B U0001F3FC,U0001F91B U0001F3FC
U+1F91B U+1F3FD,left-facing fist: medium skin tone,U0001F91B U0001F3FD,U0001F91B U0001F3FD
U+1F91B U+1F3FE,left-facing fist: medium-dark skin tone,U0001F91B U0001F3FE,U0001F91B U0001F3FE
